Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
PORTUGAL,2016-04-11,2016_Hong_Kong,Match_3_USA_vs_Portugal,163,5,1,0.0,29,0.0,4,3,0,5,0.7777777777777778,0.0,1.0
USA,2016-04-11,2016_Hong_Kong,Match_43_USA_vs_England,171,0,0,0.0,30,0.0,2,2,0,7,0.8333333333333334,0.5,1.0
ENGLAND,2016-04-11,2016_Hong_Kong,Match_43_USA_vs_England,190,19,3,0.6666666666666666,23,66.66666666666666,0,0,0,5,1.0,0.5,1.0
USA,2016-03-08,2016_Las_Vegas,Match_11_USA_vs_Canada,104,26,4,0.75,11,50.0,2,2,0,3,0.5,0.0,1.0
CANADA,2016-03-08,2016_Las_Vegas,Match_11_USA_vs_Canada,264,26,4,0.75,42,40.0,1,1,0,6,0.9090909090909091,0.0,1.0
SOUTH AFRICA,2016-03-08,2016_Las_Vegas,Match_24_South_Africa_vs_USA,207,29,5,0.4,35,33.33333333333333,3,1,0,2,0.9090909090909091,0.6666666666666666,1.0
USA,2016-03-08,2016_Las_Vegas,Match_24_South_Africa_vs_USA,140,0,0,0.0,18,0.0,3,3,0,3,0.6666666666666666,1.0,0.0
KENYA,2016-03-08,2016_Las_Vegas,Match_29_Kenya_vs_USA,253,14,2,1.0,23,0.0,7,6,0,3,0.75,0.0,1.0
USA,2016-03-08,2016_Las_Vegas,Match_29_Kenya_vs_USA,302,26,4,0.75,39,0.0,4,4,0,4,0.9,0.6666666666666666,0.0
USA,2016-03-08,2016_Las_Vegas,Match_39_USA_vs_Fiji,243,14,2,1.0,36,0.0,1,1,0,5,0.8,0.0,1.0
FIJI,2016-03-08,2016_Las_Vegas,Match_39_USA_vs_Fiji,164,21,3,1.0,21,0.0,6,2,2,4,0.75,0.0,1.0
USA,2016-03-08,2016_Las_Vegas,Match_44_USA_vs_South_Africa,242,10,2,0.0,34,0.0,4,4,0,6,0.9166666666666666,1.0,1.0
SOUTH AFRICA,2016-03-08,2016_Las_Vegas,Match_44_USA_vs_South_Africa,166,21,3,1.0,18,0.0,6,5,1,2,0.7777777777777778,1.0,1.0
USA,2016-03-08,2016_Las_Vegas,Match_4_USA_vs_Wales,219,19,3,0.6666666666666666,37,25.0,2,2,0,8,1.0,1.0,1.0
WALES,2016-03-08,2016_Las_Vegas,Match_4_USA_vs_Wales,183,12,2,0.5,23,50.0,6,6,0,3,0.5,1.0,1.0
SOUTH AFRICA,2016-05-25,2016_London,Match_12_South_Africa_vs_USA,124,14,2,1.0,15,0.0,2,2,0,4,1.0,0.25,1.0
USA,2016-05-25,2016_London,Match_12_South_Africa_vs_USA,159,10,2,0.0,23,50.0,4,2,0,4,0.8333333333333334,1.0,1.0
USA,2016-05-25,2016_London,Match_19_USA_vs_Canada,273,12,2,0.5,54,50.0,2,1,0,4,0.8571428571428571,1.0,1.0
CANADA,2016-05-25,2016_London,Match_19_USA_vs_Canada,207,12,2,0.5,17,0.0,5,5,0,1,0.6923076923076923,1.0,1.0
NEW ZEALAND,2016-05-25,2016_London,Match_31_New_Zealand_vs_USA,144,14,2,1.0,13,0.0,1,1,0,1,0.7142857142857143,1.0,0.0
USA,2016-05-25,2016_London,Match_31_New_Zealand_vs_USA,231,42,6,1.0,50,40.0,1,1,0,1,1.0,1.0,1.0
SAMOA,2016-05-25,2016_London,Match_3_Samoa_vs_USA,218,5,1,0.0,32,0.0,4,4,0,6,0.75,1.0,1.0
