Team,MatchID,Tournament,Scores,Tries,Conversions,Possession Time,Passes,Ruck_Maul,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct,Contestable_Restart_Win_Pct,Pens_Frees Against,TurnoversConceded,Yellow_Red Cards
USA,Match_44_New_Zealand_vs_USA,2015_Dubai,31,5,0.6,225,40,4,0.8888888888888888,1.0,1.0,0.6,5,2,
USA,Match_6_USA_vs_Portugal,2015_Dubai,45,7,0.7142857142857143,232,35,3,1.0,,1.0,0.5714285714285714,4,2,
PORTUGAL,Match_6_USA_vs_Portugal,2015_Dubai,14,2,1.0,144,19,,0.8,,1.0,0.3333333333333333,,2,
SOUTH AFRICA,Match_16_South_Africa_vs_USA,2016_Cape_Town,28,4,1.0,104,9,3,0.5,,1.0,,3,2,
USA,Match_16_South_Africa_vs_USA,2016_Cape_Town,10,2,0.0,248,41,3,0.7857142857142857,1.0,1.0,0.6666666666666666,3,6,
USA,Match_23_USA_vs_Russia,2016_Cape_Town,26,4,0.75,206,29,2,1.0,,1.0,0.4,3,7,1
RUSSIA,Match_23_USA_vs_Russia,2016_Cape_Town,17,3,0.3333333333333333,175,23,1,1.0,0.5,1.0,,1,2,
SCOTLAND,Match_31_Scotland_vs_USA,2016_Cape_Town,24,4,0.5,158,51,2,0.75,,1.0,0.2,3,5,
USA,Match_31_Scotland_vs_USA,2016_Cape_Town,19,3,0.6666666666666666,247,71,3,0.75,1.0,,0.6666666666666666,6,7,
USA,Match_38_USA_vs_Fiji,2016_Cape_Town,12,2,0.5,176,19,1,0.8,,1.0,,2,6,
FIJI,Match_38_USA_vs_Fiji,2016_Cape_Town,28,4,1.0,224,34,1,1.0,1.0,1.0,0.4,1,3,
AUSTRALIA,Match_7_Australia_vs_USA,2016_Cape_Town,,,,224,36,3,0.7,1.0,1.0,,4,8,
USA,Match_7_Australia_vs_USA,2016_Cape_Town,19,3,0.6666666666666666,198,28,1,0.8,,1.0,0.5,2,6,
USA,Match_11_USA_vs_Uganda,2016_Dubai,29,5,0.4,257,44,1,0.75,1.0,,0.6666666666666666,1,5,
UGANDA,Match_11_USA_vs_Uganda,2016_Dubai,7,1,1.0,149,19,3,0.6,,1.0,,4,1,
SOUTH AFRICA,Match_20_South_Africa_vs_USA,2016_Dubai,19,3,0.6666666666666666,139,14,2,0.6666666666666666,1.0,1.0,,3,1,
USA,Match_20_South_Africa_vs_USA,2016_Dubai,17,3,0.3333333333333333,238,44,1,0.8333333333333334,1.0,,,2,3,
USA,Match_28_USA_vs_Russia,2016_Dubai,40,6,0.8333333333333334,205,20,4,1.0,0.5,1.0,0.5714285714285714,5,2,
RUSSIA,Match_28_USA_vs_Russia,2016_Dubai,5,1,0.0,225,35,2,0.7692307692307693,1.0,1.0,,3,2,
KENYA,Match_36_Kenya_vs_USA,2016_Dubai,19,3,0.6666666666666666,228,38,2,1.0,1.0,1.0,0.5,3,3,
USA,Match_36_Kenya_vs_USA,2016_Dubai,21,3,1.0,216,40,2,0.8,1.0,,0.5,3,1,
USA,Match_3_USA_vs_Scotland,2016_Dubai,5,1,0.0,163,32,2,1.0,1.0,1.0,,3,3,
SCOTLAND,Match_3_USA_vs_Scotland,2016_Dubai,14,2,1.0,291,45,3,0.8181818181818182,1.0,1.0,0.5,4,1,
SAMOA,Match_42_Samoa_vs_USA,2016_Dubai,14,2,1.0,128,19,,0.6666666666666666,1.0,,0.5,1,4,
USA,Match_42_Samoa_vs_USA,2016_Dubai,28,4,1.0,233,38,4,0.6,,1.0,0.4,4,2,
USA,Match_13_USA_vs_Argentina,2016_Hong_Kong,26,4,0.75,235,40,1,0.8,1.0,1.0,0.5,1,2,1
ARGENTINA,Match_13_USA_vs_Argentina,2016_Hong_Kong,14,2,1.0,168,28,1,1.0,1.0,,0.3333333333333333,1,5,
AUSTRALIA,Match_22_Australia_vs_USA,2016_Hong_Kong,7,1,1.0,104,15,4,0.7142857142857143,,1.0,,4,4,
USA,Match_22_Australia_vs_USA,2016_Hong_Kong,22,4,0.25,251,53,1,0.9166666666666666,1.0,1.0,0.3333333333333333,2,2,
USA,Match_30_USA_vs_South_Africa,2016_Hong_Kong,,,,244,43,3,0.8461538461538461,1.0,1.0,,3,8,
SOUTH AFRICA,Match_30_USA_vs_South_Africa,2016_Hong_Kong,28,4,1.0,133,13,3,0.8,1.0,1.0,,5,3,
WALES,Match_37_Wales_vs_USA,2016_Hong_Kong,,,,121,16,2,0.7142857142857143,,1.0,1.0,2,2,
USA,Match_37_Wales_vs_USA,2016_Hong_Kong,27,5,0.2,262,52,2,1.0,1.0,,0.6666666666666666,2,3,
USA,Match_3_USA_vs_Portugal,2016_Hong_Kong,21,3,1.0,310,68,,1.0,,1.0,0.5,1,7,
PORTUGAL,Match_3_USA_vs_Portugal,2016_Hong_Kong,5,1,0.0,163,29,3,0.7777777777777778,,1.0,,4,5,
USA,Match_43_USA_vs_England,2016_Hong_Kong,,,,171,30,2,0.8333333333333334,0.5,1.0,,2,7,
ENGLAND,Match_43_USA_vs_England,2016_Hong_Kong,19,3,0.6666666666666666,190,23,,1.0,0.5,1.0,0.6666666666666666,,5,
USA,Match_11_USA_vs_Canada,2016_Las_Vegas,26,4,0.75,104,11,2,0.5,,1.0,0.5,2,3,
CANADA,Match_11_USA_vs_Canada,2016_Las_Vegas,26,4,0.75,264,42,1,0.9090909090909091,,1.0,0.4,1,6,
SOUTH AFRICA,Match_24_South_Africa_vs_USA,2016_Las_Vegas,29,5,0.4,207,35,1,0.9090909090909091,0.6666666666666666,1.0,0.3333333333333333,3,2,
USA,Match_24_South_Africa_vs_USA,2016_Las_Vegas,,,,140,18,3,0.6666666666666666,1.0,,,3,3,
KENYA,Match_29_Kenya_vs_USA,2016_Las_Vegas,14,2,1.0,253,23,6,0.75,,1.0,,7,3,
USA,Match_29_Kenya_vs_USA,2016_Las_Vegas,26,4,0.75,302,39,4,0.9,0.6666666666666666,,,4,4,
USA,Match_39_USA_vs_Fiji,2016_Las_Vegas,14,2,1.0,243,36,1,0.8,,1.0,,1,5,
FIJI,Match_39_USA_vs_Fiji,2016_Las_Vegas,21,3,1.0,164,21,2,0.75,,1.0,,6,4,2
USA,Match_44_USA_vs_South_Africa,2016_Las_Vegas,10,2,0.0,242,34,4,0.9166666666666666,1.0,1.0,,4,6,
SOUTH AFRICA,Match_44_USA_vs_South_Africa,2016_Las_Vegas,21,3,1.0,166,18,5,0.7777777777777778,1.0,1.0,,6,2,1
USA,Match_4_USA_vs_Wales,2016_Las_Vegas,19,3,0.6666666666666666,219,37,2,1.0,1.0,1.0,0.25,2,8,
WALES,Match_4_USA_vs_Wales,2016_Las_Vegas,12,2,0.5,183,23,6,0.5,1.0,1.0,0.5,6,3,
SOUTH AFRICA,Match_12_South_Africa_vs_USA,2016_London,14,2,1.0,124,15,2,1.0,0.25,1.0,,2,4,
USA,Match_12_South_Africa_vs_USA,2016_London,10,2,0.0,159,23,2,0.8333333333333334,1.0,1.0,0.5,4,4,
USA,Match_19_USA_vs_Canada,2016_London,12,2,0.5,273,54,1,0.8571428571428571,1.0,1.0,0.5,2,4,
CANADA,Match_19_USA_vs_Canada,2016_London,12,2,0.5,207,17,5,0.6923076923076923,1.0,1.0,,5,1,
NEW ZEALAND,Match_31_New_Zealand_vs_USA,2016_London,14,2,1.0,144,13,1,0.7142857142857143,1.0,,,1,1,
USA,Match_31_New_Zealand_vs_USA,2016_London,42,6,1.0,231,50,1,1.0,1.0,1.0,0.4,1,1,
SAMOA,Match_3_Samoa_vs_USA,2016_London,5,1,0.0,218,32,4,0.75,1.0,1.0,,4,6,
USA,Match_3_Samoa_vs_USA,2016_London,12,2,0.5,147,26,2,0.6,1.0,1.0,,3,8,
USA,Match_40_USA_vs_Scotland,2016_London,17,3,0.3333333333333333,165,29,2,0.8,,1.0,0.6666666666666666,2,2,
SCOTLAND,Match_40_USA_vs_Scotland,2016_London,24,4,0.5,232,45,,1.0,,1.0,0.3333333333333333,,4,
FIJI,Match_44_Fiji_vs_USA,2016_London,19,3,0.6666666666666666,130,22,,0.6666666666666666,,0.5,,2,,
USA,Match_44_Fiji_vs_USA,2016_London,26,4,0.75,163,24,1,0.75,1.0,1.0,0.75,1,6,
FRANCE,Match_14_France_vs_USA,2016_Paris,24,4,0.5,193,33,2,0.875,,0.6666666666666666,0.5,4,3,
USA,Match_14_France_vs_USA,2016_Paris,12,2,0.5,227,44,1,0.8888888888888888,,1.0,0.3333333333333333,1,6,
USA,Match_21_USA_vs_Canada,2016_Paris,33,5,0.8,263,48,1,1.0,,1.0,0.42857142857142855,2,4,
CANADA,Match_21_USA_vs_Canada,2016_Paris,12,2,0.5,197,24,1,0.9090909090909091,,0.5,,1,1,
USA,Match_27_USA_vs_Portugal,2016_Paris,19,3,0.6666666666666666,181,24,2,0.75,0.6666666666666666,1.0,0.3333333333333333,5,6,1
PORTUGAL,Match_27_USA_vs_Portugal,2016_Paris,17,3,0.3333333333333333,195,18,3,0.8,,0.3333333333333333,0.5,4,3,
USA,Match_36_USA_vs_Scotland,2016_Paris,12,2,0.5,290,54,4,0.875,,1.0,,5,6,
SCOTLAND,Match_36_USA_vs_Scotland,2016_Paris,14,2,1.0,176,27,4,0.6666666666666666,,1.0,,6,1,
ARGENTINA,Match_5_Argentina_vs_USA,2016_Paris,36,6,0.5,183,22,3,1.0,,1.0,0.2,6,2,
USA,Match_5_Argentina_vs_USA,2016_Paris,,,,224,45,2,0.75,1.0,1.0,,3,8,
USA,Match_12_USA_vs_France,2016_Singapore,17,3,0.3333333333333333,171,26,1,0.8,1.0,1.0,0.25,1,1,
FRANCE,Match_12_USA_vs_France,2016_Singapore,19,3,0.6666666666666666,165,17,1,1.0,1.0,,0.5,2,3,
NEW ZEALAND,Match_20_New_Zealand_vs_USA,2016_Singapore,19,3,0.6666666666666666,164,12,,0.6,1.0,1.0,0.5,2,4,
USA,Match_20_New_Zealand_vs_USA,2016_Singapore,12,2,0.5,221,44,3,0.8,,1.0,0.3333333333333333,3,3,
USA,Match_28_USA_vs_Russia,2016_Singapore,24,4,0.5,304,82,2,0.8571428571428571,1.0,1.0,0.6666666666666666,3,,
RUSSIA,Match_28_USA_vs_Russia,2016_Singapore,5,1,0.0,86,15,1,0.8,0.5,,,2,1,
PORTUGAL,Match_36_Portugal_vs_USA,2016_Singapore,,,,133,21,3,0.75,0.5,1.0,,3,3,
USA,Match_36_Portugal_vs_USA,2016_Singapore,26,4,0.75,263,43,2,0.8181818181818182,1.0,1.0,0.5,2,6,
SCOTLAND,Match_42_Scotland_vs_USA,2016_Singapore,14,2,1.0,150,31,3,0.6666666666666666,,1.0,,4,6,
USA,Match_42_Scotland_vs_USA,2016_Singapore,10,2,0.0,297,57,2,1.0,1.0,1.0,0.5,2,7,
USA,Match_4_USA_vs_Canada,2016_Singapore,36,6,0.5,188,26,1,0.75,1.0,1.0,0.6666666666666666,2,4,
CANADA,Match_4_USA_vs_Canada,2016_Singapore,14,2,1.0,175,27,1,0.6666666666666666,,1.0,0.3333333333333333,1,4,
USA,Match_14_USA_vs_Japan,2016_Sydney,33,5,0.8,235,33,4,0.5555555555555556,1.0,1.0,0.3333333333333333,4,2,
JAPAN,Match_14_USA_vs_Japan,2016_Sydney,17,3,0.3333333333333333,170,28,,0.8333333333333334,1.0,,,,5,
ENGLAND,Match_22_England_vs_USA,2016_Sydney,17,3,0.3333333333333333,149,22,,1.0,1.0,1.0,,,1,
USA,Match_22_England_vs_USA,2016_Sydney,14,2,1.0,263,50,2,0.7142857142857143,1.0,,,2,3,
NEW ZEALAND,Match_29_New_Zealand_vs_USA,2016_Sydney,24,4,0.5,175,22,5,0.8888888888888888,1.0,1.0,,6,2,1
USA,Match_29_New_Zealand_vs_USA,2016_Sydney,7,1,1.0,281,56,1,0.8666666666666667,1.0,,,2,7,1
USA,Match_37_USA_vs_Kenya,2016_Sydney,21,3,1.0,199,35,1,0.8571428571428571,,,0.5,4,6,
KENYA,Match_37_USA_vs_Kenya,2016_Sydney,24,4,0.5,209,29,4,0.5714285714285714,1.0,1.0,0.75,4,1,
USA,Match_6_USA_vs_Wales,2016_Sydney,42,6,1.0,228,29,3,0.8333333333333334,1.0,,,4,2,
WALES,Match_6_USA_vs_Wales,2016_Sydney,,,,207,32,3,0.6153846153846154,,1.0,,4,6,
USA,Match_13_USA_vs_England,2016_Vancouver,17,3,0.3333333333333333,294,54,2,0.9166666666666666,,1.0,0.75,3,4,
ENGLAND,Match_13_USA_vs_England,2016_Vancouver,12,2,0.5,145,21,5,0.5714285714285714,1.0,0.75,,5,2,
USA,Match_22_USA_vs_New_Zealand,2016_Vancouver,5,1,0.0,414,71,1,0.7391304347826086,1.0,1.0,,1,3,
NEW ZEALAND,Match_22_USA_vs_New_Zealand,2016_Vancouver,17,3,0.3333333333333333,120,18,4,,1.0,1.0,,5,4,
FIJI,Match_29_Fiji_vs_USA,2016_Vancouver,31,5,0.6,180,39,2,0.5,1.0,,,4,4,1
USA,Match_29_Fiji_vs_USA,2016_Vancouver,26,4,0.75,296,54,3,0.7142857142857143,,1.0,0.4,5,6,
USA,Match_37_USA_vs_Wales,2016_Vancouver,38,6,0.6666666666666666,237,33,1,0.8333333333333334,1.0,1.0,0.5,3,3,
WALES,Match_37_USA_vs_Wales,2016_Vancouver,12,2,0.5,166,19,1,0.625,1.0,1.0,,1,1,
USA,Match_43_USA_vs_Samoa,2016_Vancouver,19,3,0.6666666666666666,220,41,,0.7777777777777778,,1.0,,,4,
SAMOA,Match_43_USA_vs_Samoa,2016_Vancouver,31,5,0.6,191,35,1,0.3333333333333333,1.0,1.0,0.5,2,2,
USA,Match_5_USA_vs_France,2016_Vancouver,42,6,1.0,269,46,2,0.8666666666666667,,1.0,0.6,4,4,
FRANCE,Match_5_USA_vs_France,2016_Vancouver,14,2,1.0,146,25,1,0.7142857142857143,1.0,1.0,0.3333333333333333,1,6,
