,Team,Opposition,Scores,Tries,Possession Time,Passes,Rucks Attack,Ruck_retention,T-Overs Won,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,Tournament,Conversions,Contestable_Restart_Win_Pct,Lineout_Win_Pct,Scrum_Win_Pct
68,USA,Australia,28.0,4.0,286,40,16,0.8125,3.0,2.0,2.0,,2018_Las_Vegas,1.0,0.5,1.0,
69,USA,Samoa,26.0,4.0,263,42,12,0.9166666666666666,4.0,4.0,1.0,,2018_Las_Vegas,0.75,0.5,0.75,1.0
70,Australia,USA,31.0,5.0,153,16,6,1.0,2.0,1.0,,1.0,2018_Vancouver_7s,0.6,0.5,1.0,1.0
71,Canada,USA,21.0,3.0,271,36,18,0.8888888888888888,5.0,3.0,3.0,,2018_Vancouver_7s,1.0,0.25,1.0,1.0
72,Kenya,USA,24.0,4.0,182,27,8,0.75,6.0,2.0,2.0,,2018_Vancouver_7s,0.5,0.3333333333333333,,1.0
73,New Zealand,USA,,,187,35,10,0.7,5.0,4.0,2.0,1.0,2018_Vancouver_7s,,,1.0,1.0
74,South Africa,USA,29.0,5.0,223,33,10,1.0,4.0,2.0,1.0,,2018_Vancouver_7s,0.4,0.4,,
75,Uruguay,USA,,,197,23,13,0.8461538461538461,4.0,3.0,1.0,1.0,2018_Vancouver_7s,,,0.5,1.0
76,USA,South Africa,7.0,1.0,208,40,15,0.8666666666666667,6.0,3.0,3.0,,2018_Vancouver_7s,1.0,,1.0,1.0
77,USA,Kenya,19.0,3.0,281,60,11,0.9090909090909091,4.0,,,,2018_Vancouver_7s,0.6666666666666666,0.5,1.0,1.0
78,USA,New Zealand,17.0,3.0,273,45,13,0.8461538461538461,5.0,1.0,1.0,,2018_Vancouver_7s,0.3333333333333333,0.6666666666666666,1.0,
79,USA,Australia,21.0,3.0,228,36,6,1.0,2.0,2.0,,1.0,2018_Vancouver_7s,1.0,0.3333333333333333,1.0,1.0
80,USA,Canada,28.0,4.0,200,30,7,0.7142857142857143,2.0,3.0,3.0,,2018_Vancouver_7s,1.0,0.6666666666666666,1.0,
81,USA,Uruguay,45.0,7.0,238,27,8,0.75,7.0,5.0,2.0,,2018_Vancouver_7s,0.7142857142857143,0.5,1.0,1.0
