Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff,-175 : -150,-149 : -125,-124 : -100,-99 : -75,-74 : -25,-24 : -1,0 : 25,26 : 50,51 : 75,76 : 100,101 : 125,126 : 150,Result
WALES,2016_Las_Vegas,8.955223880597018,22.58064516129032,20.0,0.16666666666666666,23.33333333333333,-25.0,-50.0,-50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOUTH AFRICA,2016_London,12.36749116607774,-16.66666666666667,0.0,-1.0,21.05263157894737,-50.0,33.333333333333336,0.0,-0.16666666666666666,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CANADA,2016_London,13.75,0.0,0.0,0.0,52.112676056338024,50.0,-42.85714285714286,-66.66666666666666,0.1648351648351648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2
NEW ZEALAND,2016_London,23.200000000000006,50.0,50.0,0.0,58.73015873015874,-40.0,0.0,0.0,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SAMOA,2016_London,-19.45205479452055,41.1764705882353,33.333333333333336,0.5,-10.34482758620689,0.0,-14.285714285714292,-33.333333333333336,-0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
SCOTLAND,2016_London,-16.876574307304793,-17.07317073170732,-14.285714285714292,-0.16666666666666669,-21.621621621621628,33.33333333333333,100.0,100.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0
FIJI,2016_London,11.262798634812286,15.555555555555555,14.285714285714292,0.08333333333333337,4.347826086956516,-75.0,-33.333333333333336,100.0,0.08333333333333337,0.0,1.0,0.5,0.0,0.0,0.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FRANCE,2016_Paris,8.095238095238102,-33.333333333333336,-33.333333333333336,0.0,14.285714285714292,16.66666666666667,-60.0,-33.333333333333336,0.013888888888888841,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
CANADA,2016_Paris,14.347826086956516,46.66666666666666,42.85714285714286,0.30000000000000004,33.333333333333336,42.857142857142854,33.333333333333336,0.0,0.09090909090909094,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
PORTUGAL,2016_Paris,-3.723404255319153,5.555555555555557,0.0,0.3333333333333333,14.285714285714292,-16.66666666666667,11.111111111111114,-20.0,-0.05000000000000005,-50.0,0.6666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1
